,PC_1,PC_2,PC_3
2009-11-17,-14.633915636889197,-6.008352038790112,-0.6488833857989427
2009-11-18,-14.618539661537598,-5.986445646213844,-0.6197781053974584
2009-11-19,-14.520326477262012,-5.956209997546797,-0.6168451563935738
2009-11-20,-14.653277479982812,-5.935793757800915,-0.5695169141649767
2009-11-23,-14.688956598158988,-5.916583091742224,-0.5746098184943386
2009-11-24,-14.595870080492036,-5.931148287593885,-0.6536897205162527
2009-11-25,-14.6578427478136,-5.909846310496449,-0.6721002904796816
2009-11-26,-14.44223921415624,-5.95790190458056,-0.771693233583638
2009-11-27,-14.46811298345483,-5.982356824386519,-0.7428318128788243
2009-11-30,-14.350824179559403,-5.875480325058113,-0.726059585890882
2009-12-01,-14.297590042467164,-5.897770938652968,-0.7718662012076315
2009-12-02,-14.346757771257241,-5.926581907048935,-0.7674046095663837
2009-12-03,-14.430587430050398,-5.946555380663739,-0.6878163826145867
2009-12-04,-14.61373905017931,-5.964291328383749,-0.6102553506336346
2009-12-07,-14.381949443944226,-5.893834208876367,-0.6495116223417249
2009-12-08,-14.186706240660936,-5.9278817930858905,-0.6984610688408247
2009-12-09,-14.270299087884862,-5.941243739681212,-0.6867940874245092
2009-12-10,-14.427725754604754,-5.992294550449193,-0.712441135159215
2009-12-11,-14.592594459711558,-6.042980141478949,-0.7062068454833912
2009-12-14,-14.483732173729614,-6.032491175587075,-0.7280028914876178
2009-12-15,-14.514894826575672,-6.003580352988013,-0.7074847167901542
2009-12-16,-14.41735813749329,-6.020265772329583,-0.7156755570823545
2009-12-17,-14.172511810283552,-5.976364141400898,-0.7265778995184194
2009-12-18,-14.147495116290509,-5.936241300145362,-0.6703786411549401
2009-12-21,-14.3222617474214,-6.016275065741306,-0.6875381476538257
2009-12-22,-14.523137396111078,-6.110717715308689,-0.7015822788396967
2009-12-23,-14.631016859591167,-6.174970654713241,-0.7056331366887223
2009-12-24,-14.637782258980614,-6.157236317956647,-0.7036615693312018
2009-12-28,-14.805113725847521,-6.179725249688152,-0.6634787873708967
2009-12-29,-14.894489608857544,-6.174307739809232,-0.6255385017109469
2009-12-30,-14.974095744366748,-6.162941837680228,-0.605648520887575
2009-12-31,-14.976891789975227,-6.1543557820036465,-0.6132881319920944
2010-01-04,-15.048396850605053,-6.108939059752182,-0.5255291027188164
2010-01-05,-14.948161837739242,-6.146237385664896,-0.5544281874099204
2010-01-06,-15.022536190860555,-6.221907159146194,-0.5586619208438635
2010-01-07,-14.86765580549363,-6.182714970561543,-0.535743652914631
2010-01-08,-14.773079219657186,-6.173018800549667,-0.5470752151427059
2010-01-11,-14.703942765513439,-6.216482510185926,-0.5958643943840884
2010-01-12,-14.616936875432513,-6.174506739957725,-0.6001377762815705
2010-01-13,-14.686427130214701,-6.2224061913817845,-0.6261345998724834
2010-01-14,-14.651179143262656,-6.220930738927915,-0.582366778052526
2010-01-15,-14.485949141563186,-6.212395507372272,-0.5842627767502822
2010-01-18,-14.461471552432876,-6.161732400560925,-0.5778893122131509
2010-01-19,-14.56089289449,-6.1772895464145,-0.5496497637331551
2010-01-20,-14.49617357684471,-6.212216271731029,-0.6614464229846487
2010-01-21,-14.53090002404161,-6.2507465129245645,-0.6638372824098382
2010-01-22,-14.354291952246502,-6.2469106875322575,-0.6511665216451832
2010-01-25,-14.36912305656945,-6.209137097972381,-0.6343456029858331
2010-01-26,-14.301150186584993,-6.188161020438739,-0.6548331745366013
2010-01-27,-14.195473612607417,-6.105766025114908,-0.6338124680492102
2010-01-28,-14.235964171794889,-6.089181826442607,-0.588158182426889
2010-01-29,-14.301988881931093,-6.0860225924407025,-0.5367079135760014
2010-02-01,-14.180641845587685,-6.033878815572738,-0.6049332377653905
2010-02-02,-14.20366131735749,-6.00192239845585,-0.5580082093199179
2010-02-03,-14.337023939825531,-6.06864570793812,-0.6365239898063192
2010-02-04,-14.213454497478638,-6.001946596676784,-0.6293296769941786
2010-02-05,-13.99994458885225,-5.94866457905664,-0.6177438323706413
2010-02-08,-13.90363957387014,-5.941400032481314,-0.5648608478020971
2010-02-09,-14.013955421160249,-6.018687001238844,-0.6260620248116534
2010-02-10,-14.05644144717313,-6.052574153068909,-0.6550017302476702
2010-02-11,-14.128982597023588,-6.03839887985875,-0.6303668946611543
2010-02-12,-14.08304284802304,-6.108332477344281,-0.6721490714428671
2010-02-15,-14.142481494034872,-6.144576979389907,-0.6643491291645636
