,BETA0,BETA1,BETA2,BETA3,TAU1,TAU2
2014-11-14,0.6586098226213952,-0.6486098226213952,23.94851878176495,-21.390316143225046,7.161695911106022,5.755118398784477
2014-11-21,0.7021510345582787,-0.6921510345582786,23.904529979942694,-21.431845217877818,7.240858849043603,5.8736476046272506
2014-11-28,0.6194440122259236,-0.6094440122259236,23.80925838535172,-21.368742582332693,7.501527318137697,6.128213043101133
2014-12-05,0.5782744652544449,-0.5682744652544449,23.945165544046645,-21.234661023863644,7.409233671209935,6.002984214187976
2014-12-12,0.4348523235546203,-0.42485232355462027,23.819364372382545,-21.356930407598238,7.390779264879892,6.090373033484006
2014-12-19,0.4095084465440699,-0.3995084465440699,23.78088396308577,-21.355872728843263,7.378593993238468,6.0442254074795345
2014-12-24,0.4134275012188335,-0.4034275012188335,23.75942374796157,-21.37719068125985,7.381966775366068,6.037063308259738
2015-01-02,0.5155069658215573,-0.5055069658215573,23.51424319303031,-21.737949262063765,7.218427146681563,6.016488522458283
2015-01-09,1.4908153252523069,-1.4808153252251006,21.875715097734798,-22.821766674905422,5.2115203282256015,4.742632961309154
2015-01-16,1.2734152344361382,-1.2634152344311935,21.872059256742254,-22.720028219866876,5.429838360413724,4.908362411141902
2015-01-23,1.6856261552232386,-1.6756261552337444,-1.77378437676251,-4.762020733698637,0.4301442484579697,2.6202189199122703
2015-01-30,1.4576608218087663,-1.4476608218036202,-1.5848032020304563,-4.111686308679716,0.4209631341286181,2.510302062932288
2015-02-06,1.3519230926734445,-1.324990977930938,-1.7152323723629483,-4.095702409054582,0.323583292135935,2.1877182271198263
2015-02-13,1.3308376293914992,-1.3157502179663678,-1.5001850535961352,-4.103824396638276,0.3361844953683327,2.161823433776949
2015-02-20,1.52362155949602,-1.5136215594873457,-1.7033794164845268,-4.631084916814271,0.35639297872454306,2.3209375786609896
2015-02-27,1.490434925208745,-1.463242558500686,-1.9327759296522105,-4.459310860394165,0.3675512956252914,2.4417451161135966
2015-03-06,1.4286055136828306,-1.3308831103173344,-2.0428182627305187,-4.30811609861637,0.3185743399380437,2.253720801612189
2015-03-13,1.0795276347248774,-1.036984881861313,-1.62561681965668,-3.363383082188853,0.3296580252007488,2.189165580761403
2015-03-20,0.9815549833823316,-0.9715549833861552,-1.3591098282210683,-3.1180907523185715,0.35963788032241417,2.2514697462703044
